Table 1;;;;;;;;;;
Participant;Level;Activity Name;Score;Max Score;Correct;Errors;Time Spent  ;Returns to Explanation;Time spent in returned explanation;Key comments/Behaviour
;Line Chart;Second Point Plotting;500;500;10;0;21;No;;Consistency: High speed and accuracy.
;Area Chart;Area Comparison;25;50;1;1;38;No;;Initial math error on Y-End (entered 40), then corrected to 100.
;Stacked Area;Point Plotting 1;650;700;10;4;144;No;;"Precision: Math was correct, but user struggled with ""background clicks"" (missed click targets)."
;Stacked Area;Point Plotting 2;700;700;10;0;31;No;;"Recovery: Adjusted clicking aim; perfect score."
;Misleading;Years Missing;50;50;1;0;23;No;;Visual Acuity: Immediately spotted the missing data.
;Misleading;Y Axis Increment;50;50;1;0;15;No;;Correctly identified the non-linear axis.
;Misleading;Comparison;50;50;1;0;7;No;;Immediate identification.
;Stacked Area;First Stacking ;-;-;0;1;9;No;;"Impatience: Clicked ""Yes"" (graph ready) when it wasn't."
P14;Base Chart;Axes Activity;450;500;8;2;109;No;;Concept Error: Started X-axis at 0 instead of 2015.
;Line Chart;Point Plotting;500;500;11;0;44;No;;Precision: Flawless execution.
;Line Chart;Line Drawing;50;50;1;0;7;No;;Smooth execution.
;Line Chart;Prepare Second Category;150;150;3;3;77;No;;Trial & Error: Guessed increments (10, 20, 5) before finding 50.
;Line Chart;Second Point Plotting;500;500;11;0;33;No;;Consistency: High accuracy maintained.
;Line Chart;Second Line Drawing;0;50;1;0;7;No;;Correctly connected (Score display quirk in log).
;Area Chart;Introduction Activity;50;50;1;0;5;No;;Instant understanding.
;Area Chart;Area Comparison;0;50;1;2;34;No;;Visual vs. Data: Guessed 85 twice (likely judging by eye) instead of entering the scaled value 200.
;Stacked Area;First Stacking Activity;-;-;1;1;35;No;;Math Error: Entered 800 instead of the summed total 830.
;Stacked Area;Point Plotting;700;700;10;0;71;No;;Recovery: Plotted the calculated points perfectly despite the initial setup error.
;Stacked Area;Stack Third Category;-;-;2;2;55;No;;Math Error: Severe calculation struggle. Entered 100 and 1000 instead of 1210.
;Stacked Area;Second Point Plotting;675;700;10;0;130;No;;Slow & Steady: Took over 2 minutes, but placed every point correctly.
;Stacked Area;Second Line Drawing;675;700;1;0;3;No;;Fast execution.
;Misleading;Years Missing Activity;25;50;1;1;36;No;;Missed the issue once (clicked FullGraph) then found the X-axis gap.
;Misleading;Y Axis Increment;50;50;1;0;15;No;;Correctly identified.
;Misleading;Comparison Activity;50;50;1;0;9;No;;Correctly identified.
;Misleading;Reversed Years Activity;50;50;1;0;37;No;;Correctly identified.
P15;Base Chart;Axes Activity;425;500;10;6;153;No;;Confused Increment w/ Year (2016). Struggled to find correct Y-End (650).
;Line Chart;Point Plotting;500;500;10;1;46;No;;High precision, only 1 click error.
;Line Chart;Line Drawing;50;50;1;0;6;No;;Smooth execution.
;Line Chart;Prepare Second Category;50;50;1;0;14;No;;Correctly identified no adjustment needed.
;Line Chart;Second Point Plotting;500;500;10;0;23;No;;Flawless execution.
;Line Chart;Second Line Drawing;0;50;1;0;4;No;;Connected correctly (Score log display quirk).
;Area Chart;Introduction Activity;50;50;1;0;11;No;;Instant understanding.
;Area Chart;Area Comparison;25;50;1;1;11;No;;Visual Guessing: Entered 65 instead of scaled 650.
;Stacked Area;First Stacking ;150;150;2;0;23;No;;Setup correct.
;Stacked Area;Point Plotting ;50;500;5;6;52;Yes;2;Stuck: 6 consecutive errors on year 2019. Quit to explanation.
;Stacked Area;First Stacking ;125;150;2;2;17;No;;"Clicked wrong graph part; entered wrong Y-End (720)."
;Stacked Area;Point Plotting ;0;500;5;8;53;Yes;1;Stuck: 7 consecutive errors on year 2019 again. Quit to explanation.
;Stacked Area;First Stacking ;150;150;2;0;14;No;;Setup correct.
;Stacked Area;Point Plotting ;-100;500;7;16;83;Yes;1;Severe Friction: 12 errors on year 2021. Quit to explanation.
;Stacked Area;First Stacking ;25;150;1;1;7;Yes;1;"Incorrect start; immediate return to explanation."
;Stacked Area;First Stacking ;150;150;2;0;12;No;;Setup correct.
;Stacked Area;Point Plotting ;300;500;11;8;60;No;;Breakthrough: Completed successfully despite 8 click errors.
;Stacked Area;Line Drawing;575;50;1;4;8;No;;Struggled to drag/connect line initially (4 incomplete actions).
;Stacked Area;Stack Third Category;150;150;2;0;16;No;;Setup correct.
;Stacked Area;Second Point Plotting;475;500;11;1;48;No;;High accuracy on complex stacking.
;Stacked Area;Second Line Drawing;700;50;1;0;4;No;;Perfect connection.
;Misleading;Years Missing Activity;50;50;1;0;21;No;;Correctly identified.
;Misleading;Y Axis Increment Activity;50;50;1;0;6;No;;Correctly identified.
;Misleading;Comparison Activity;50;50;1;0;7;No;;Correctly identified.
;Misleading;Reversed Years Activity;50;50;1;0;6;No;;Correctly identified.
P16;Base Chart;Axes Activity;475;500;9;1;86;No;;Minor error on X-start label (0 vs 2015).
;Line Chart;Point Plotting;500;500;10;0;26;No;;Perfect execution.
;Line Chart;Line Drawing;50;50;1;0;10;No;;Smooth execution.
;Line Chart;Prepare Second Category;50;50;1;0;23;No;;Correctly identified no adjustment needed.
;Line Chart;Second Point Plotting;500;500;10;0;16;No;;Fast and flawless.
;Line Chart;Second Line Drawing;50;50;1;0;4;No;;Perfect connection (Log display error corrected).
;Area Chart;Introduction Activity;50;50;1;0;10;No;;Instant understanding.
;Area Chart;Area Comparison;50;50;1;0;13;No;;Correctly calculated scale (90) immediately.
;Stacked Area;First Stacking;150;150;2;2;50;No;;Setup correct. Two Y-End input errors (ignored for scoring).
;Stacked Area;Point Plotting;450;500;10;2;102;No;;"Good accuracy; slight friction on year 2019 (2 background clicks)."
;Stacked Area;Line Drawing;50;50;1;0;8;No;;Smooth execution.
;Stacked Area;Stack Third Category;150;150;2;0;15;No;;Setup correct.
;Stacked Area;Second Point Plotting;425;500;10;3;109;No;;Friction: Struggled with years 2019, 2021, and 2023 (background clicks).
;Stacked Area;Second Line Drawing;50;50;1;0;7;No;;Perfect connection.
;Misleading;Years Missing Activity;50;50;1;0;26;No;;Correctly identified.
;Misleading;Y Axis Increment Activity;50;50;1;0;13;No;;Correctly identified.
;Misleading;Comparison Activity;50;50;1;0;3;No;;Correctly identified.
;Misleading;Reversed Years Activity;50;50;1;0;6;No;;Correctly identified.
;Area Chart ;Introduction Activity;50;50;1;0;5;No;;Replay for practice.
;Area Chart ;Area Comparison;0;50;0;1;4;Yes;1;Quit: Incorrect Y-End (100) then immediately returned to explanation.
;Area Chart ;Introduction Activity;50;50;1;0;4;No;;Quick pass.
;Area Chart ;Area Comparison;50;50;1;0;17;No;;Success on second retry (400).
;Stacked Area ;First Stacking;150;150;2;1;19;No;;One Y-End input error (ignored for scoring).
;Stacked Area ;Point Plotting;500;500;10;0;21;No;;Flawless replay.
;Stacked Area ;Line Drawing;-100;50;1;6;10;No;;"Erratic: Connected correctly, then triggered 6 ""Incomplete connection"" errors immediately after."
;Stacked Area ;Stack Third Category;0;150;0;0;5;Yes;1;Abandoned: Started activity but returned to explanation immediately.
P17;Base Chart;Axes Activity;500;500;9;0;89;No;;Flawless execution.
;Line Chart;Point Plotting;500;500;10;0;34;No;;Perfect accuracy.
;Line Chart;Line Drawing;50;50;1;0;8;No;;Smooth execution.
;Line Chart;Prepare Second Category;200;150;3;1;47;No;;Bonus points likely applied. 1 error on Increment input.
;Line Chart;Second Point Plotting;500;500;10;0;23;No;;Fast and accurate.
;Line Chart;Second Line Drawing;50;50;1;0;13;No;;Smooth execution.
;Area Chart;Introduction Activity;50;50;1;0;8;No;;Instant understanding.
;Area Chart;Area Comparison;0;50;0;3;61;Yes;2;Failed: Struggled significantly with Y End calculation.
;Area Chart ;Introduction Activity;50;50;1;0;11;No;;Quick pass.
;Area Chart ;Area Comparison;50;200;4;2;89;No;;Struggle: Multiple incorrect Y End guesses before finding 650.
;Area Chart ;Introduction Activity;50;50;1;0;5;No;;Quick pass.
;Area Chart ;Area Comparison;25;50;1;1;25;Yes;6;Initial input error (75 vs 80).
;Area Chart ;Introduction Activity;50;50;1;0;2;No;;Instant pass.
;Area Chart ;Area Comparison;200;200;4;0;18;No;;Mastered: Finally executed perfectly.
;Stacked Area;First Stacking ;0;150;1;2;14;No;;Level reset. Incorrect interaction with graph parts.
;Stacked Area;First Stacking ;150;150;3;2;28;No;;Setup correct. Multiple Y End typos (ignored for score).
;Stacked Area;Point Plotting;425;500;10;3;54;No;;Friction: 3 misses (background clicks) while plotting.
;Stacked Area;Line Drawing;50;50;1;0;8;No;;Smooth execution.
;Stacked Area;Stack Third Category;150;150;3;0;26;No;;Setup correct.
;Stacked Area;Second Point Plotting;475;500;10;1;24;No;;Good accuracy, only 1 miss.
;Stacked Area;Second Line Drawing;50;50;1;0;5;No;;Smooth execution.
;Misleading;Years Missing;50;50;1;0;15;Yes;1;Returned to explanation twice before starting.
;Misleading;Y Axis Increment;50;50;1;0;12;No;;Correctly identified.
;Misleading;Comparison Activity;50;50;1;0;5;No;;Correctly identified.
;Misleading;Reversed Years;50;50;1;0;5;No;;Correctly identified.
;Stacked Area ;First Stacking;50;150;1;0;6;Yes;2;Abandoned: Started activity then quit to explanation.
P18;Base Chart;Axes Activity;0;500;1;0;19;Yes;22;"Tutorial step; animation triggered successfully."
;Line Chart;Point Plotting;-50;500;1;10;55;Yes;2;Abandoned: High error rate (clicking background 7 times) led to early exit.
;Area Chart;Introduction ;50;50;1;0;9;No;;Seamless execution.
;Area Chart;Area Comparison ;-200;50;0;10;175;No;;Guessing: Entered random values (123456, 999, 0) instead of calculating.
;Area Chart;Introduction ;50;50;1;0;5;No;;"Replay; perfect execution."
;Area Chart;Area Comparison ;-125;200;2;7;162;No;;"Failed comparability question; continued guessing values (80, 0)."
;Area Chart;Introduction ;50;50;1;0;4;No;;"Replay; perfect execution."
;Area Chart;Area Comparison ;0;200;0;5;13;Yes;2;Quick exit after 5 consecutive input errors (5, 50, 10).
;Area Chart;Introduction ;50;50;1;0;2;No;;"Replay; perfect execution."
;Area Chart;Area Comparison ;0;200;0;4;30;Yes;2;Aborted again after random inputs (110, 120).
;Stacked Area;First Stacking ;0;150;1;2;61;Yes;;"Confusion: Incorrectly clicked ""Yes"" for graph readiness and ""FullGraph"" for adjustment."
;Stacked Area;First Stacking ;-800;150;1;34;759;No;;"Rage/Panic: Spent 12 minutes clicking ""FullGraph"" 30+ times."
;Stacked Area;Point Plotting ;475;500;10;1;225;No;;"Recovered accuracy; only one misclick."
;Stacked Area;Line Drawing ;25;50;1;1;8;No;;One incomplete connection before success.
;Stacked Area;Stack Third Category ;-50;150;1;4;49;No;;Struggled to identify the correct graph part to adjust.
;Stacked Area;Second Point Plotting ;450;500;10;2;85;No;;"Solid performance; minor precision errors."
;Stacked Area;Second Line Drawing ;50;50;1;0;6;No;;Perfect execution.
;Stacked Area;First Stacking ;150;150;3;0;14;No;;Mastered: Flawless execution after previous failures.
;Stacked Area;Point Plotting ;450;500;10;2;69;No;;Good speed, minor clicking errors.
;Stacked Area;Line Drawing ;50;50;1;0;8;No;;Perfect execution.
;Stacked Area;Stack Third Category ;100;150;3;2;28;No;;"Initially clicked ""FullGraph"" again, then corrected course."
;Stacked Area;Second Point Plotting ;400;500;10;4;103;No;;Slightly more errors (background clicks) than previous attempt.
;Stacked Area;Second Line Drawing ;50;50;1;0;8;No;;Perfect execution.
;Misleading;Years Missing;-25;50;1;4;65;No;;"Struggled to find the ""missing years"" click target on the X-axis."
;Misleading;Y Axis Increment;-25;50;1;3;64;No;;"Clicked ""FullGraph"" multiple times before finding the axis."
;Misleading;Comparison Chart;50;50;1;0;13;No;;Correctly identified the misleading Y-axis immediately.
;Misleading;Reversed Years;50;50;1;0;9;No;;Correctly identified the X-axis issue immediately.
;Misleading;Years Missing ;50;50;1;0;7;No;;Mastered: Instant identification.
;Misleading;Y Axis Increment ;50;50;1;0;12;No;;Mastered: Instant identification.
;Misleading;Comparison Chart ;50;50;1;0;3;No;;Mastered: Instant identification.
;Misleading;Reversed Years ;50;50;1;0;3;No;;Mastered: Instant identification.
P19;Base Chart;Axes Activity;475;500;10;5;114;No;;Struggled with Increments (tried 2019, 2, 1, 3) and Y-End label (3 vs 30).
;Line Chart;Point Plotting;500;500;10;1;37;No;;"Generally accurate; only one background misclick."
;Line Chart;Line Drawing;50;50;1;0;15;No;;Perfect execution.
;Line Chart;Prepare Second Category;200;150;4;0;30;No;;"Bonus points awarded; correctly identified adjustments needed."
;Line Chart;Second Point Plotting;500;500;10;1;30;No;;Visual bug in logs (x=1970), but game registered correct clicks.
;Line Chart;Second Line Drawing;-50;50;1;3;22;No;;Careless: Multiple incomplete connection attempts and misclicks.
;Area Chart;Introduction ;50;50;1;0;11;No;;Seamless execution.
;Area Chart;Area Comparison ;50;200;4;0;58;No;;Anomaly: All actions marked correct (Green), but score was low. Likely time penalty or unlogged constraint.
;Area Chart;Introduction ;50;50;1;0;2;No;;"Replay; perfect execution."
;Area Chart;Area Comparison ;200;200;4;0;10;No;;Perfect execution on replay.
;Stacked Area;First Stacking;150;150;3;0;10;No;;Correctly identified graph was not ready and adjusted Y-axis.
;Stacked Area;Point Plotting;500;500;10;0;68;No;;"Perfect precision; zero errors."
;Stacked Area;Line Drawing;50;50;1;0;5;No;;Perfect execution.
;Stacked Area;Stack Third Category;150;150;3;0;39;No;;"Correctly handled the ""Valorant"" category addition."
;Stacked Area;Second Point Plotting;375;500;10;5;62;No;;Regression: 5 background clicks (misclicks) while plotting points.
;Stacked Area;Second Line Drawing;50;50;1;0;5;No;;Perfect execution.
;Misleading;Years Missing;-25;50;1;3;31;No;;"Searching: Clicked ""FullGraph"" and ""GraphStart"" before finding the gap."
;Misleading;Y Axis Increment;50;50;1;0;17;No;;Instant identification.
;Misleading;Comparison Chart;25;50;1;1;21;No;;Clicked X-Axis first instead of the misleading Y-Axis.
;Misleading;Reversed Years;50;50;1;0;13;No;;Instant identification.
;Misleading;Years Missing ;50;50;1;0;9;No;;Mastered: Instant identification.
;Misleading;Y Axis Increment ;50;50;1;0;6;No;;Mastered: Instant identification.
;Misleading;Comparison Chart ;50;50;1;0;3;No;;Mastered: Instant identification.
;Misleading;Reversed Years ;50;50;1;0;3;No;;Mastered: Instant identification.
P20;Base Chart;Axes Activity;0;500;6;2;117;Yes;11;User struggled with X-axis increments (tried 2016, 10) before returning to explanation.
;Base Chart;Axes Activity;450;500;10;3;98;No;;Struggled with creation order (Y before X) and Y-End labeling (600 vs 650).
;Line Chart;Point Plotting;500;500;10;1;48;No;;"Nearly perfect; one misclick on the final point."
;Line Chart;Line Drawing;50;50;1;0;8;No;;Perfect execution.
;Line Chart;Prepare Second Category;50;50;1;0;9;No;;Correctly identified no adjustment needed.
;Line Chart;Second Point Plotting;500;500;10;3;66;No;;General accuracy good, but 3 background misclicks.
;Line Chart;Second Line Drawing;0;50;1;0;6;No;;"Score log shows 0/50 but level ended with full points; likely a logging glitch as connection was marked correct."
;Area Chart;Introduction ;50;50;1;0;9;No;;Perfect execution.
;Area Chart;Area Comparison ;0;50;0;4;32;Yes;1;Failed 4 times to enter correct Y-End value before returning to explanation.
;Area Chart;Introduction ;50;50;1;0;2;No;;Fast replay.
;Area Chart;Area Comparison ;25;50;1;1;30;No;;Initially entered wrong Y-End (30), then corrected (650).
;Stacked Area;First Stacking ;0;150;1;0;6;Yes;4;Clicked 'No' correctly then immediately returned to explanation.
;Stacked Area;First Stacking ;-50;150;1;4;36;Yes;3;Major struggles: Incorrect 'Yes', clicked FullGraph 3 times.
;Stacked Area;First Stacking ;100;150;2;0;44;Yes;1;Got graph ready and Y-axis click correct, failed inputs (not penalized), then returned.
;Stacked Area;First Stacking ;100;150;2;0;94;Yes;2;Same pattern: Correct setup, struggled with Y-End input, returned.
;Stacked Area;First Stacking ;100;150;2;0;35;No;;Level reset occurred during input phase.
;Stacked Area;First Stacking ;150;150;3;0;164;No;;Finally succeeded. Long pause (2+ mins) before completing inputs.
;Stacked Area;Point Plotting;500;500;10;0;95;No;;Perfect execution.
;Stacked Area;Line Drawing;50;50;1;0;4;No;;Perfect execution.
;Stacked Area;Stack Third Category;150;150;3;0;158;No;;Struggle with Y-End math (8 incorrect inputs), but correctly identified graph parts.
;Stacked Area;Second Point Plotting;300;500;10;8;117;No;;High error rate (8 background clicks) suggesting trouble locating points accurately.
;Stacked Area;Second Line Drawing;-300;50;1;14;15;No;;"Spamming: 14 ""Incomplete connection"" errors in 15 seconds."
;Misleading;Years Missing ;0;50;1;2;23;No;;Clicked Title and FullGraph before finding the axis gap.
;Misleading;Y Axis Increment ;-125;50;1;7;75;No;;Searching: Clicked X-axis 6 times and FullGraph once before finding Y-axis.
;Misleading;Comparison Chart ;N/A;50;0;0;6;Yes;1;Returned to explanation immediately.
;Misleading;Years Missing ;50;50;1;0;4;No;;Mastered on replay.
;Misleading;Y Axis Increment ;50;50;1;0;4;No;;Mastered on replay.
;Misleading;Comparison Chart ;-25;50;1;3;26;No;;Confused X-axis with Y-axis (3 errors).
;Misleading;Reversed Years ;0;50;1;2;19;No;;Clicked Y-axis twice before noticing X-axis reversal.
;Misleading;Years Missing ;50;50;1;0;2;No;;Speed run.
;Misleading;Y Axis Increment ;50;50;1;0;2;No;;Speed run.
;Misleading;Comparison Chart ;50;50;1;0;4;No;;Speed run.
;Misleading;Reversed Years ;50;50;1;0;2;No;;Speed run.
P21;Base Chart;Axes Activity;550;500;11;4;331;No;;Perfectionist: User struggled with X-start labels (3 errors) but achieved a higher-than-max score due to bonus increments/actions not penalized.
;Line Chart;Point Plotting;500;500;10;0;61;No;;Perfect execution.
;Line Chart;Line Drawing;50;50;1;0;15;No;;Perfect execution.
;Line Chart;Prepare Second Category;50;50;1;0;3;No;;Correctly identified no adjustment needed.
;Line Chart;Second Point Plotting;500;500;10;1;83;No;;Nearly perfect, only one misclick on the 1970/20 point.
;Line Chart;Second Line Drawing;0;50;1;0;17;No;;"Glitch: Score logged as 0 despite ""Correct connection created"" message."
;Area Chart;Introduction;50;50;1;0;12;No;;Perfect execution.
;Area Chart;Area Comparison;50;50;1;0;26;No;;Flawless. No Y-End adjustment needed, correctly entered second category value.
;Stacked Area;First Stacking;150;150;3;0;21;No;;Perfect execution. Correctly identified graph readiness, adjustment area, and Y-End (180).
;Stacked Area;Point Plotting;475;500;10;1;114;No;;Generally accurate, but one background misclick at the peak (2019).
;Stacked Area;Line Drawing;50;50;1;1;10;No;;One incomplete connection attempt before success.
;Stacked Area;Stack Third Category;150;150;3;0;27;No;;Perfect execution. Correctly calculated the cumulative Y-End (190).
;Stacked Area;Second Point Plotting;500;500;10;0;126;No;;Perfect execution.
;Stacked Area;Second Line Drawing;50;50;1;0;12;No;;Perfect execution.
;Misleading;Years Missing;25;50;1;1;46;No;;"Clicked ""FullGraph"" before correctly identifying the missing years on the X-axis."
;Misleading;Y Axis Increment;25;50;1;1;55;No;;"Clicked ""FullGraph"" before noticing the inconsistent Y-axis increments."
;Misleading;Comparison Chart;50;50;1;0;11;No;;Perfect execution.
;Misleading;Reversed Years;50;50;1;0;29;No;;Perfect execution.
P22;Base Chart;Axes Activity;-;-;5;7;207;Yes;30;User struggled significantly with X-start/end labels. Returned to explanation.
;Base Chart;Axes Activity;-;-;0;1;8;Yes;1;Immediate failure (No axis created).
;Base Chart;Axes Activity;-;-;4;12;144;Yes;2;"Confusion: Severe misunderstanding of ""Increment"". User entered years (2020, 2018, etc.) instead of values."
;Base Chart;Axes Activity;-;-;5;12;155;No ;;Continued increment confusion. Tried almost every year on the axis as an increment value.
;Base Chart;Axes Activity;-;-;0;0;4;No;;Immediate restart.
;Base Chart;Axes Activity;425;500;8;5;158;No;;Finally grasped X-axis, but struggled with Y-axis increments (tried 500, 1, 76).
;Base Chart;Axes Activity;-;-;5;3;48;Yes;2;Failed on Y-end input (Entered 500 repeatedly for a max value of 75).
;Base Chart;Axes Activity;500;500;9;0;44;No;;Perfect execution.
;Line Chart;Point Plotting ;250;500;10;10;89;No;;Precision issues: 10 background clicks. Likely missing the hit area.
;Line Chart;Point Plotting ;-;-;0;1;5;No;;Immediate background click error and restart.
;Line Chart;Point Plotting ;500;500;10;0;17;No;;Perfect execution.
;Line Chart;Line Drawing;50;50;1;0;5;No;;Perfect execution.
;Line Chart;Point Plotting ;-;-;0;1;4;No;;Immediate background click error.
;Line Chart;Point Plotting ;500;500;10;1;14;No;;One background click error, otherwise smooth.
;Line Chart;Line Drawing;50;50;1;0;5;No;;Perfect execution.
;Line Chart;Prepare Second Category;50;50;1;0;1;No;;Correctly identified no adjustment needed.
;Line Chart;Second Point Plotting;500;500;10;1;30;No;;Very fast, only one misclick.
;Line Chart;Second Line Drawing;0;50;1;1;8;No;;"Glitch: Score logged as 0 despite ""Correct connection created"". One background error."
;Area Chart;Introduction;50;50;1;0;13;No;;Perfect execution.
;Area Chart;Comparison ;-;-;0;7;40;No ;;Concept Error: Unable to determine Y-End. Guessed random numbers (85, 0, 80, 11).
;Area Chart;Comparison ;-;-;0;5;34;No ;;Continued guessing for Y-End (40, 75, 70, 10).
;Area Chart;Comparison ;-;-;1;2;67;Yes;1;Got Y-End correct but failed the comparability question and clicked wrong graph part.
;Area Chart;Introduction ;50;50;1;0;8;No;;Perfect execution.
;Area Chart;Comparison ;100;100;2;0;65;No;;Finally mastered the calculation and logic.
;Stacked Area;First Stacking;50;150;3;2;105;No;;Struggle: Incorrectly identified graph readiness and clicked wrong parts (FullGraph).
;Stacked Area;Point Plotting;350;500;10;6;49;No;;Precision: 6 background clicks. User is struggling to hit the specific data points.
;Stacked Area;Line Drawing;50;50;1;0;2;No;;Perfect execution.
;Stacked Area;Stack Third Category;150;150;3;0;15;No;;Perfect execution.
;Stacked Area;Second Point Plotting;75;500;10;17;129;No;;Severe Failure: 17 Errors. User repeatedly clicked background (16 times) at 2020/2023. Likely confused by cumulative values.
;Stacked Area;Second Line Drawing;50;50;1;0;4;No;;Perfect execution.
;Misleading;Years Missing ;-;-;0;0;5;Yes;3;Immediate return to explanation.
;Misleading;Years Missing ;50;50;1;0;66;No;;Correctly identified missing years.
;Misleading;Y Axis Increment ;-;-;0;17;52;No ;;Spam Clicking: 17 Incorrect clicks on XAxis, XAxisEnd, and FullGraph. Could not find the Y-axis error.
;Misleading;Years Missing ;50;50;1;0;3;No;;Perfect execution.
;Misleading;Y Axis Increment ;50;50;1;1;13;No;;Found the error after one incorrect click on YAxisEnd.
;Misleading;Comparison Chart;50;50;1;0;2;No;;Perfect execution.
;Misleading;Reversed Years ;-50;50;1;4;18;No;;4 errors before success. Score logged as negative in game save.
;Misleading;Years Missing ;50;50;1;0;3;No;;Perfect execution.
;Misleading;Y Axis Increment ;50;50;1;1;4;No;;One error before success.
;Misleading;Comparison Chart ;50;50;1;0;2;No;;Perfect execution.
;Misleading;Reversed Years ;50;50;1;0;2;No;;Perfect execution.
P23;Base Chart;Axes Activity;225;500;7;11;343;No;;Concept Failure: Major struggle with Y-start (tried 40, 200, 180) and Y-increments (tried 100, 10, 1, 15).
;Base Chart;Axes Activity;500;500;9;1;109;No;;Recovery: Smooth execution. Only one minor error on X-increment (10 vs 1).
;Line Chart;Point Plotting;500;500;10;0;50;No;;Perfect execution.
;Line Chart;Line Drawing;50;50;1;0;15;No;;Perfect execution.
;Line Chart;Prepare Second Category;50;50;1;0;10;No;;Correctly identified no adjustment needed.
;Line Chart;Second Point Plotting;500;500;10;1;63;No;;One precision error (clicked 25 vs 35), otherwise solid.
;Line Chart;Second Line Drawing;50;50;1;0;14;No;;Logged score 0/50 but completed successfully. Calculated as 50 based on Level total.
;Area Chart;Introduction;50;50;1;0;17;No;;Perfect execution.
;Area Chart;Comparison;50;50;1;0;22;No;;Perfect execution.
;Stacked Area;First Stacking ;-25;150;0;1;16;Yes;2;"Incorrectly identified graph readiness (""Yes""). Immediate return to explanation."
;Stacked Area;First Stacking ;25;150;2;1;39;Yes;2;Got graph readiness and axis selection correct, but failed Y-End calculation (200 vs 230).
;Stacked Area;First Stacking ;150;150;3;0;31;No;;Perfect execution.
;Stacked Area;Point Plotting;450;500;10;2;64;No;;Minor Precision Issues: 2 background clicks.
;Stacked Area;Line Drawing;50;50;1;0;6;No;;Perfect execution.
;Stacked Area;Stack Third Category;150;150;3;0;11;No;;Perfect execution.
;Stacked Area;Second Point Plotting;325;500;10;7;141;No;;Cumulative Value Struggle: 7 errors total (1 wrong point, 6 background clicks). Significant struggle around 2021/2022 points.
;Stacked Area;Second Line Drawing;50;50;1;0;6;No;;Perfect execution.
;Misleading;Years Missing;50;50;1;0;15;No;;Perfect execution.
;Misleading;Y Axis Increment;50;50;1;0;65;No;;High Latency: Perfect execution but took 65 seconds to find the error (Y-axis intervals).
;Misleading;Comparison Chart;50;50;1;0;10;No;;Perfect execution.
;Misleading;Reversed Years;50;50;1;0;22;No;;Perfect execution.
P24;Base Chart;Axes Activity;75;500;7;11;426;Yes;2;"Severe Concept Failure: Struggle with Y-axis max/increments. Tried inputs like ""2015"" for Y-end."
;Line Chart;Point Plotting;325;500;10;9;123;No;;Low Precision: High error rate (9 misses), particularly on the final point (2024).
;Line Chart;Line Drawing;25;50;1;1;9;No;;"Initial attempt incomplete; required correction."
;Line Chart;Prepare Second Category;50;50;2;5;151;Yes;19;"Confusion: Incorrectly answered ""Yes"" to graph readiness. Struggled significantly with Y-increments (tried 38, 35, 30, 0)."
;Line Chart;Point Plotting ;500;500;10;2;29;No;;Improved speed and precision.
;Line Chart;Line Drawing ;50;50;1;0;7;No;;Perfect execution.
;Line Chart;Prepare Second Category ;50;50;3;1;51;Yes;3;Correctly identified graph readiness and Y-End, but failed on Y-increment again (entered 0).
;Base Chart;Axes Activity;500;500;4;0;31;Yes;2;Full Recovery: Perfect execution on this attempt, though triggered a return to explanation immediately after.
;Line Chart;Point Plotting ;500;500;10;0;24;No;;Perfect execution.
;Line Chart;Line Drawing ;25;50;1;1;14;No;;Initial attempt incomplete.
;Line Chart;Prepare Second Category ;-25;50;0;1;26;No;;"Regression: Incorrectly answered ""No"" regarding graph adjustment."
;Line Chart;Second Point Plotting;500;500;10;0;58;No;;Perfect execution.
;Line Chart;Second Line Drawing;50;50;1;0;30;No;;Logged as 0, but completed successfully.
;Area Chart;Introduction;50;50;1;0;22;No;;Perfect execution.
;Area Chart;Comparison;50;50;1;0;46;No;;Perfect execution.
;Stacked Area;First Stacking ;-25;150;1;3;73;Yes;1;"Concept Failure: Correctly identified ""No"", but clicked randomly on X-axis and graph body instead of Y-axis."
;Stacked Area;First Stacking ;-25;150;1;3;81;Yes;20;"Confusion: Incorrectly answered ""Yes"". Found Y-axis eventually but struggled with Y-End calculation (80, 100, 85)."
;Stacked Area;First Stacking ;0;150;1;2;70;Yes;1;"clicked ""No"" correctly, but then clicked Title and Graph body."
;Stacked Area;First Stacking ;100;150;2;1;21;Yes;1;Found Y-axis correctly but entered wrong Y-End (400 vs 430).
;Stacked Area;First Stacking ;100;150;2;6;143;No;;Persistence: Finally passed stacking logic, despite 6 failed Y-End inputs.
;Stacked Area;Point Plotting ;175;500;5;3;39;Yes;2;Abort: 50% completion before returning to explanation due to background clicks.
;Stacked Area;First Stacking ;100;150;2;0;19;No;;executed correctly.
;Stacked Area;Point Plotting ;450;500;10;2;67;No;;Good execution, minor precision errors on 2021.
;Stacked Area;Line Drawing;25;50;1;1;13;No;;Initial incomplete connection.
;Stacked Area;Stack Third Category;25;150;1;1;30;No;;"Incorrectly answered ""Yes"" (graph not ready), but found Y-axis adjustment correctly."
;Stacked Area;Second Point Plotting;300;500;7;2;51;Yes;1;Fatigue/Abort: Successfully plotted 7 points but quit to explanation after errors on 2022.
P25;Base Chart;Axes Activity;500;500;9;1;304;No;;Slow Start: Took 5 minutes. Minor error entering Y-end (entered 30 instead of 80).
